RAS2D_TS_Name,Datetime,Concentration
Flow_TS_154,4/1/2010 0:00,10.67619
Flow_TS_154,4/1/2010 1:00,10.85098
Flow_TS_154,4/1/2010 2:00,11.16101
Flow_TS_154,4/1/2010 3:00,11.48371
Flow_TS_154,4/1/2010 4:00,11.79696
Flow_TS_154,4/1/2010 5:00,12.09803
Flow_TS_154,4/1/2010 6:00,12.40239
Flow_TS_154,4/1/2010 7:00,12.71165
Flow_TS_154,4/1/2010 8:00,13.04604
Flow_TS_154,4/1/2010 9:00,13.40563
Flow_TS_154,4/1/2010 10:00,13.7914
Flow_TS_154,4/1/2010 11:00,14.20426
Flow_TS_154,4/1/2010 12:00,14.6538
Flow_TS_154,4/1/2010 13:00,15.1522
Flow_TS_154,4/1/2010 14:00,15.68665
Flow_TS_154,4/1/2010 15:00,16.26177
Flow_TS_154,4/1/2010 16:00,16.88813
Flow_TS_154,4/1/2010 17:00,17.56097
Flow_TS_154,4/1/2010 18:00,18.29632
Flow_TS_154,4/1/2010 19:00,19.08256
Flow_TS_154,4/1/2010 20:00,19.8982
Flow_TS_154,4/1/2010 21:00,20.82493
Flow_TS_154,4/1/2010 22:00,21.79331
Flow_TS_154,4/1/2010 23:00,22.86928
Flow_TS_154,4/2/2010 0:00,23.9862
Flow_TS_154,4/2/2010 1:00,25.0614
Flow_TS_154,4/2/2010 2:00,26.29186
Flow_TS_154,4/2/2010 3:00,27.60191
Flow_TS_154,4/2/2010 4:00,28.95711
Flow_TS_154,4/2/2010 5:00,30.51874
Flow_TS_154,4/2/2010 6:00,32.07155
Flow_TS_154,4/2/2010 7:00,33.80902
Flow_TS_154,4/2/2010 8:00,35.6174
Flow_TS_154,4/2/2010 9:00,37.54765
Flow_TS_154,4/2/2010 10:00,39.52718
Flow_TS_154,4/2/2010 11:00,41.62186
Flow_TS_154,4/2/2010 12:00,43.85465
Flow_TS_154,4/2/2010 13:00,46.14288
Flow_TS_154,4/2/2010 14:00,48.45862
Flow_TS_154,4/2/2010 15:00,50.97568
Flow_TS_154,4/2/2010 16:00,53.47881
Flow_TS_154,4/2/2010 17:00,56.07868
Flow_TS_154,4/2/2010 18:00,58.72111
Flow_TS_154,4/2/2010 19:00,61.38776
Flow_TS_154,4/2/2010 20:00,64.07254
Flow_TS_154,4/2/2010 21:00,66.86673
Flow_TS_154,4/2/2010 22:00,69.61486
Flow_TS_154,4/2/2010 23:00,72.35732
Flow_TS_154,4/3/2010 0:00,75.01382
Flow_TS_154,4/3/2010 1:00,75.51558
Flow_TS_154,4/3/2010 2:00,76.82066
Flow_TS_154,4/3/2010 3:00,78.42982
Flow_TS_154,4/3/2010 4:00,80.26788
Flow_TS_154,4/3/2010 5:00,82.1751
Flow_TS_154,4/3/2010 6:00,83.96759
Flow_TS_154,4/3/2010 7:00,85.74846
Flow_TS_154,4/3/2010 8:00,87.36385
Flow_TS_154,4/3/2010 9:00,88.75538
Flow_TS_154,4/3/2010 10:00,90.09707
Flow_TS_154,4/3/2010 11:00,91.14301
Flow_TS_154,4/3/2010 12:00,92.00898
Flow_TS_154,4/3/2010 13:00,92.62946
Flow_TS_154,4/3/2010 14:00,93.07375
Flow_TS_154,4/3/2010 15:00,93.28319
Flow_TS_154,4/3/2010 16:00,93.22362
Flow_TS_154,4/3/2010 17:00,92.97911
Flow_TS_154,4/3/2010 18:00,92.4861
Flow_TS_154,4/3/2010 19:00,91.72198
Flow_TS_154,4/3/2010 20:00,90.77033
Flow_TS_154,4/3/2010 21:00,89.65873
Flow_TS_154,4/3/2010 22:00,88.30311
Flow_TS_154,4/3/2010 23:00,86.76661
Flow_TS_154,4/4/2010 0:00,85.07002
Flow_TS_154,4/4/2010 1:00,86.43271
Flow_TS_154,4/4/2010 2:00,86.30321
Flow_TS_154,4/4/2010 3:00,85.13554
Flow_TS_154,4/4/2010 4:00,83.37658
Flow_TS_154,4/4/2010 5:00,81.18082
Flow_TS_154,4/4/2010 6:00,78.76057
Flow_TS_154,4/4/2010 7:00,76.21894
Flow_TS_154,4/4/2010 8:00,73.60731
Flow_TS_154,4/4/2010 9:00,70.95193
Flow_TS_154,4/4/2010 10:00,68.26645
Flow_TS_154,4/4/2010 11:00,65.55787
Flow_TS_154,4/4/2010 12:00,62.83004
Flow_TS_154,4/4/2010 13:00,60.08478
Flow_TS_154,4/4/2010 14:00,57.53713
Flow_TS_154,4/4/2010 15:00,54.93992
Flow_TS_154,4/4/2010 16:00,52.42377
Flow_TS_154,4/4/2010 17:00,50.03383
Flow_TS_154,4/4/2010 18:00,47.67798
Flow_TS_154,4/4/2010 19:00,45.43364
